,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
307,SVC,60,20,0.6439393939393939,0.4984449059252209,0.3757575757575758,0.4255513062674409,0.31598657024793386,"O2Hb_max, HHb_max, tHb_mean",random_forest,"[('O2Hb_max', np.float64(0.19345254810180942)), ('HHb_max', np.float64(0.11596516998419777)), ('tHb_mean', np.float64(0.10927298122904609))]",3
308,RandomForest,60,20,0.6022727272727272,0.49237258451812743,0.4318181818181818,0.442039618488628,0.37650654269972456,"tHb_max, tHb_mean, O2Hb_max, tHb_min",select_k_best,"[('tHb_max', np.float64(265.85274046897035)), ('tHb_mean', np.float64(261.541613297752)), ('O2Hb_max', np.float64(201.7233069666033)), ('tHb_min', np.float64(185.8641030369288))]",4
309,KNN,60,20,0.5606060606060606,0.5059081820430938,0.46174242424242423,0.536763592733742,0.46847738751147844,"O2Hb_max, HHb_max, tHb_mean, tHb_max, O2Hb_mean, O2Hb_median, tHb_min, HHb_std, HHb_median, O2Hb_min, HHb_min, HHb_mean, O2Hb_std",random_forest,"[('O2Hb_max', np.float64(0.19345254810180942)), ('HHb_max', np.float64(0.11596516998419777)), ('tHb_mean', np.float64(0.10927298122904609)), ('tHb_max', np.float64(0.10646835602071653)), ('O2Hb_mean', np.float64(0.08742336709322289)), ('O2Hb_median', np.float64(0.077359542345239)), ('tHb_min', np.float64(0.06696573266371401)), ('HHb_std', np.float64(0.04100815592321238)), ('HHb_median', np.float64(0.04047855348775901)), ('O2Hb_min', np.float64(0.04037200126920472)), ('HHb_min', np.float64(0.03559467480378334)), ('HHb_mean', np.float64(0.032609479424101605)), ('O2Hb_std', np.float64(0.02295060200120329))]",13
310,DecisionTree,60,20,0.5871212121212122,0.48766192085592586,0.41477272727272724,0.4347600699125003,0.42803030303030304,"tHb_max, tHb_mean, O2Hb_max",select_k_best,"[('tHb_max', np.float64(265.85274046897035)), ('tHb_mean', np.float64(261.541613297752)), ('O2Hb_max', np.float64(201.7233069666033))]",3
311,XGBoost,60,20,0.5808080808080808,0.45856640758694106,0.39015151515151514,0.39984302765383145,0.3391084136822773,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median",select_k_best,"[('tHb_max', np.float64(265.85274046897035)), ('tHb_mean', np.float64(261.541613297752)), ('O2Hb_max', np.float64(201.7233069666033)), ('tHb_min', np.float64(185.8641030369288)), ('tHb_median', np.float64(157.7798017062439))]",5
312,LogisticRegression,60,30,0.6455938697318008,0.593375104427736,0.5517241379310345,0.5811961280147918,0.5500726648170168,"O2Hb_max, tHb_mean, tHb_max, HHb_max, O2Hb_mean, O2Hb_median, tHb_min, HHb_std, HHb_median, HHb_min, HHb_mean, tHb_median, O2Hb_min, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.1703104816970988)), ('tHb_mean', np.float64(0.10602677715647076)), ('tHb_max', np.float64(0.10594527656826612)), ('HHb_max', np.float64(0.10491983646158182)), ('O2Hb_mean', np.float64(0.10120426861776308)), ('O2Hb_median', np.float64(0.06526987936058934)), ('tHb_min', np.float64(0.06385587642232912)), ('HHb_std', np.float64(0.06371810099714627)), ('HHb_median', np.float64(0.03892091197666493)), ('HHb_min', np.float64(0.03686329759983012)), ('HHb_mean', np.float64(0.0360008471928155)), ('tHb_median', np.float64(0.03274542830704439)), ('O2Hb_min', np.float64(0.03259060072886131)), ('O2Hb_std', np.float64(0.02210797272714554)), ('tHb_std', np.float64(0.0195204441863929))]",15
313,SVC,60,30,0.6475095785440613,0.552047932350058,0.4781609195402299,0.5949074074074074,0.4558065794688863,"O2Hb_max, tHb_mean, tHb_max, HHb_max, O2Hb_mean",random_forest,"[('O2Hb_max', np.float64(0.1703104816970988)), ('tHb_mean', np.float64(0.10602677715647076)), ('tHb_max', np.float64(0.10594527656826612)), ('HHb_max', np.float64(0.10491983646158182)), ('O2Hb_mean', np.float64(0.10120426861776308))]",5
314,RandomForest,60,30,0.603448275862069,0.4816745198171401,0.43908045977011495,0.43748863429714496,0.38682454749636674,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(172.52394428952175)), ('tHb_mean', np.float64(168.16060105316873)), ('O2Hb_max', np.float64(132.76870192392434)), ('tHb_min', np.float64(116.88324668312276)), ('tHb_median', np.float64(104.7547061561186)), ('O2Hb_mean', np.float64(85.41770753005525))]",6
315,KNN,60,30,0.5938697318007663,0.47121976160802737,0.44885057471264367,0.45753128492643685,0.4737746069493989,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_max', np.float64(172.52394428952175)), ('tHb_mean', np.float64(168.16060105316873)), ('O2Hb_max', np.float64(132.76870192392434)), ('tHb_min', np.float64(116.88324668312276)), ('tHb_median', np.float64(104.7547061561186)), ('O2Hb_mean', np.float64(85.41770753005525)), ('O2Hb_median', np.float64(72.19662354638508)), ('O2Hb_min', np.float64(50.28954217505512))]",8
316,DecisionTree,60,30,0.5881226053639846,0.48911773946810255,0.4189655172413793,0.44235493253309005,0.43678160919540227,"tHb_max, tHb_mean, O2Hb_max, tHb_min",select_k_best,"[('tHb_max', np.float64(172.52394428952175)), ('tHb_mean', np.float64(168.16060105316873)), ('O2Hb_max', np.float64(132.76870192392434)), ('tHb_min', np.float64(116.88324668312276))]",4
317,XGBoost,60,30,0.5727969348659004,0.48525320707908265,0.47471264367816096,0.5264772145417307,0.44005152596115743,"tHb_max, tHb_mean, O2Hb_max, tHb_min, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_max', np.float64(172.52394428952175)), ('tHb_mean', np.float64(168.16060105316873)), ('O2Hb_max', np.float64(132.76870192392434)), ('tHb_min', np.float64(116.88324668312276)), ('tHb_median', np.float64(104.7547061561186)), ('O2Hb_mean', np.float64(85.41770753005525)), ('O2Hb_median', np.float64(72.19662354638508)), ('O2Hb_min', np.float64(50.28954217505512))]",8
318,LogisticRegression,60,40,0.6515151515151515,0.597274784987789,0.5553030303030303,0.5820335863814124,0.5343204775022957,"O2Hb_max, tHb_mean, tHb_max, HHb_max, O2Hb_mean, O2Hb_median, tHb_min, HHb_std, HHb_median, O2Hb_min, HHb_mean, HHb_min, tHb_median, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.17227299136433114)), ('tHb_mean', np.float64(0.12032915307873711)), ('tHb_max', np.float64(0.11184618894764217)), ('HHb_max', np.float64(0.10732050690837779)), ('O2Hb_mean', np.float64(0.08601753910200105)), ('O2Hb_median', np.float64(0.06936126063566121)), ('tHb_min', np.float64(0.06917621056407577)), ('HHb_std', np.float64(0.05247772359270634)), ('HHb_median', np.float64(0.03918384984400885)), ('O2Hb_min', np.float64(0.03684085194014351)), ('HHb_mean', np.float64(0.036826434824148595)), ('HHb_min', np.float64(0.030912293002900305)), ('tHb_median', np.float64(0.02634285875857481)), ('tHb_std', np.float64(0.02121101659125583))]",14
